emp_no,first_name,last_name,title,from_date,to_date,birth_date
10095,Hilari,Morton,Senior Staff,2000-03-09,9999-01-01,1965-01-03
10291,Dipayan,Seghrouchni,Senior Staff,1994-03-30,9999-01-01,1965-01-23
10122,Ohad,Esposito,Technique Leader,1998-08-06,9999-01-01,1965-01-19
10476,Kokou,Iisaka,Senior Staff,1994-09-20,9999-01-01,1965-01-01
10762,Lech,Himler,Senior Staff,1999-01-21,9999-01-01,1965-01-19
10663,Teunis,Noriega,Technique Leader,1993-01-23,9999-01-01,1965-01-09
10933,Juyoung,Seghrouchni,Senior Engineer,1993-08-02,9999-01-01,1965-01-24
12155,Keiichiro,Glinert,Senior Engineer,2001-09-16,9999-01-01,1965-01-21
14476,Sastry,Marrevee,Engineer,1999-09-25,9999-01-01,1965-01-19
12408,Rasiah,Sudkamp,Senior Engineer,1995-04-18,9999-01-01,1965-01-10
12643,Morrie,Schurmann,Staff,1998-12-31,9999-01-01,1965-01-30
13499,Kazuhiko,Sidou,Technique Leader,1991-09-01,9999-01-01,1965-01-16
14075,Denny,Tchuente,Engineer,1998-05-30,9999-01-01,1965-01-03
14104,Sudhanshu,Demian,Senior Staff,1999-07-23,9999-01-01,1965-01-03
14127,Magdalena,Cannard,Senior Engineer,2002-04-22,9999-01-01,1965-01-10
14158,Caolyn,Setiz,Senior Staff,1996-02-06,9999-01-01,1965-01-22
14907,Nakhoon,Luga,Senior Staff,1994-12-18,9999-01-01,1965-01-14
15050,Nikolaos,Kruskal,Senior Engineer,1996-12-16,9999-01-01,1965-01-18
15058,Bouchung,Bugrara,Senior Staff,1998-06-18,9999-01-01,1965-01-30
16461,Remmert,Schahn,Senior Staff,1994-09-06,9999-01-01,1965-01-14
15413,Arvin,Rabejac,Senior Engineer,2002-01-01,9999-01-01,1965-01-17
16528,Gaurav,Swick,Engineer,2001-05-07,9999-01-01,1965-01-21
17013,Morris,Garigliano,Senior Staff,2000-05-23,9999-01-01,1965-01-15
17206,Berry,DeMori,Senior Engineer,1998-12-27,9999-01-01,1965-01-02
17447,Zengping,Boreale,Staff,1998-12-16,9999-01-01,1965-01-11
17369,Yaghout,Kenevan,Senior Engineer,1998-01-28,9999-01-01,1965-01-31
17731,Gennady,Roison,Engineer,1997-12-06,9999-01-01,1965-01-16
17988,Mabhin,Calkin,Senior Engineer,1997-11-30,9999-01-01,1965-01-31
